2026-07-06 17:11:04 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:17:47 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:46:13 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:47:29 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:47:29 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 17:47:42 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 12.2667 seconds.
2026-07-06 17:47:42 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 17:48:15 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 33.2061 seconds.
2026-07-06 17:49:06 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:49:06 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 17:49:07 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 0.5460 seconds.
2026-07-06 17:49:07 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 17:49:26 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:49:26 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 17:49:26 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 0.5343 seconds.
2026-07-06 17:49:26 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 17:49:57 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 31.1099 seconds.
2026-07-06 17:52:23 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 17:52:23 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 17:52:23 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 0.4821 seconds.
2026-07-06 17:52:23 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 17:52:52 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 29.1010 seconds.
2026-07-06 23:15:49 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 23:15:49 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 23:15:54 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 4.7577 seconds.
2026-07-06 23:16:01 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 23:16:01 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (7880) exceed context window of 4096
2026-07-06 23:16:55 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 23:16:55 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 23:16:58 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 3.1477 seconds.
2026-07-06 23:17:06 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 23:17:21 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 15.5538 seconds.
2026-07-06 23:23:21 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-06 23:23:21 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-06 23:23:25 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 4.0923 seconds.
2026-07-06 23:23:35 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-06 23:23:50 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 15.1592 seconds.
2026-07-07 00:05:57 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-07 00:05:57 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-07 00:06:01 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 4.4007 seconds.
2026-07-07 00:06:12 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:06:27 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 15.2246 seconds.
2026-07-07 00:06:50 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:06:50 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (5071) exceed context window of 4096
2026-07-07 00:07:15 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:07:28 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 13.1447 seconds.
2026-07-07 00:07:53 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:08:07 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 14.1378 seconds.
2026-07-07 00:08:40 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:08:40 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (5576) exceed context window of 4096
2026-07-07 00:09:17 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:09:17 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (4335) exceed context window of 4096
2026-07-07 00:10:06 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:10:06 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (4571) exceed context window of 4096
2026-07-07 00:10:32 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:10:55 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 23.2155 seconds.
2026-07-07 00:12:31 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:12:46 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 14.7787 seconds.
2026-07-07 00:13:20 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:13:46 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 26.8997 seconds.
2026-07-07 00:55:12 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-07 00:55:12 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-07 00:55:16 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 3.7154 seconds.
2026-07-07 00:55:28 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:55:28 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:55:28 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 7941
2026-07-07 00:55:28 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:55:28 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 8965
2026-07-07 00:55:28 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 4869 tokens!
2026-07-07 00:55:28 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (7941) exceed context window of 4096
2026-07-07 00:55:45 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:55:45 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:55:45 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 13715
2026-07-07 00:55:45 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:55:45 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 14739
2026-07-07 00:55:45 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 10643 tokens!
2026-07-07 00:55:45 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (13715) exceed context window of 4096
2026-07-07 00:56:13 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:56:13 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:56:13 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 11048
2026-07-07 00:56:13 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:56:13 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 12072
2026-07-07 00:56:13 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 7976 tokens!
2026-07-07 00:56:13 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (11048) exceed context window of 4096
2026-07-07 00:56:34 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:56:34 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:56:34 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 3404
2026-07-07 00:56:34 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:56:34 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 4428
2026-07-07 00:56:34 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 332 tokens!
2026-07-07 00:56:57 | INFO     | backend.reguaz.services.generation.gemma_service | Generation completed in 23.4921 seconds.
